"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Sanders","Trump"
"66","116871","poll","PPP (D)","2/9 - 2/11","","687 RV","3.7","",Sanders,Democrat,+4.0,,2018-02-14 10:46:48,"https://www.publicpolicypolling.com/wp-content/uploads/2018/02/PPP_Release_National_21418.pdf",2018-02-09,2018-02-11,"1","Sanders","Democrat","+4.0","",48.0,44.0
"67","116963","poll","CNN","1/14 - 1/18","","918 RV","3.8","",Sanders,Democrat,+13.0,,2018-02-26 23:20:21,"http://cdn.cnn.com/cnn/2018/images/01/23/rel1e.-.2020.pdf",2018-01-14,2018-01-18,"1","Sanders","Democrat","+13.0","",55.0,42.0
"68","116411","poll","PPP (D)","12/11 - 12/12","","862 RV","3.3","",Sanders,Democrat,+13.0,,2017-12-14 10:34:50,"https://www.publicpolicypolling.com/wp-content/uploads/2017/12/PPP_Release_National_121417.pdf",2017-12-11,2017-12-12,"1","Sanders","Democrat","+13.0","",53.0,40.0
"69","116011","poll","PPP (D)","10/27 - 10/29","","572 RV","4.1","",Sanders,Democrat,+15.0,,2017-10-31 11:35:29,"https://www.publicpolicypolling.com/wp-content/uploads/2017/10/PPP_Release_National_103117.pdf",2017-10-27,2017-10-29,"1","Sanders","Democrat","+15.0","",53.0,38.0
"70","115671","poll","PPP (D)","9/22 - 9/25","","865 RV","3.3","",Sanders,Democrat,+11.0,,2017-09-28 14:21:04,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_92817.pdf",2017-09-22,2017-09-25,"1","Sanders","Democrat","+11.0","",51.0,40.0
"71","115400","poll","PPP (D)","8/18 - 8/21","","887 RV","3.3","",Sanders,Democrat,+13.0,,2017-08-29 15:20:59,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_82317.pdf",2017-08-18,2017-08-21,"1","Sanders","Democrat","+13.0","",51.0,38.0
"72","115394","poll","PPP (D)","7/14 - 7/17","","836 RV","3.4","",Sanders,Democrat,+13.0,,2017-08-29 15:01:01,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_71817.pdf",2017-07-14,2017-07-17,"1","Sanders","Democrat","+13.0","",52.0,39.0
"73","115388","poll","PPP (D)","6/9 - 6/11","","811 RV","3.4","",Sanders,Democrat,+10.0,,2017-08-29 14:51:01,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_61217.pdf",2017-06-09,2017-06-11,"1","Sanders","Democrat","+10.0","",51.0,41.0
"74","115383","poll","PPP (D)","5/12 - 5/14","","692 RV","3.7","",Sanders,Democrat,+13.0,,2017-08-29 12:51:51,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_51617.pdf",2017-05-12,2017-05-14,"1","Sanders","Democrat","+13.0","",52.0,39.0
"75","115408","poll","PPP (D)","4/17 - 4/18","","648 RV","3.9","",Sanders,Democrat,+9.0,,2017-08-29 15:48:36,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_42017.pdf",2017-04-17,2017-04-18,"1","Sanders","Democrat","+9.0","",50.0,41.0
"76","115377","poll","PPP (D)","3/27 - 3/28","","677 RV","3.8","",Sanders,Democrat,+11.0,,2017-08-29 12:41:12,"http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_33017.pdf",2017-03-27,2017-03-28,"1","Sanders","Democrat","+11.0","",52.0,41.0
