"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.castroj","results.de_la_fuente_iiir","results.wellsr","results.gabbardt","results.yanga","results.bennetm","results.williamsonm","results.delaneyj","results.patrickd"
"171","48341","Moore",   288,  8,  8,   119,    77,    38,    20,    11,     2,     1,     2,     2,     2,     2,     3,     2,     5,     1,     0,     1
"172","48343","Morris",   777,  5,  5,   412,   135,   132,    44,    10,     5,    10,     6,     2,     2,     1,     5,     3,     2,     3,     4,     1
"173","48345","Motley",    15,  7,  7,     8,     2,     2,     3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"174","48347","Nacogdoches",  3379, 26, 26,  1365,   982,   403,   403,    93,    66,    12,     5,     1,     1,     0,    14,    17,     8,     2,     5,     2
"175","48349","Navarro",  1896, 21, 21,   889,   422,   341,   112,    45,    29,    15,     9,     5,     1,     3,     3,     5,     7,     3,     7,     0
"176","48351","Newton",   354, 23, 23,   196,    61,    67,    11,     3,     2,     4,     2,     0,     0,     0,     2,     1,     1,     2,     2,     0
"177","48353","Nolan",   390, 10, 10,   170,   107,    45,    34,    11,     9,     6,     0,     3,     1,     0,     1,     0,     0,     1,     1,     1
"178","48355","Nueces", 22583, 70, 70,  8559,  5655,  4250,  1989,   829,   548,   103,    49,   107,   139,     1,    70,    58,   115,    10,    93,     8
"179","48357","Ochiltree",    81,  5,  5,    32,    21,    14,     9,     0,     0,     1,     0,     0,     0,     0,     1,     0,     1,     2,     0,     0
"180","48359","Oldham",    40,  8,  8,    16,     9,     8,     5,     1,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"181","48361","Orange",  2614, 35, 35,  1148,   573,   487,   184,    86,    57,    16,     2,     5,     4,     2,    11,     8,    20,     4,     5,     2
"182","48363","Palo Pinto",   880, 14, 14,   342,   204,   170,    59,    35,    25,    10,     4,     2,     4,     3,     5,     2,    10,     0,     4,     1
"183","48365","Panola",   841, 20, 20,   493,   129,   117,    48,    18,    11,     3,     2,     0,     0,     2,     4,     1,     7,     2,     3,     1
